"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Município";"Situação do domicílio";"Ano x Sexo"
"Nível";"Cód.";"Município";"Situação do domicílio";"1970"
"Nível";"Cód.";"Município";"Situação do domicílio";"Total";"Homens";"Mulheres"
"MU";"1301506";"Envira (AM)";"Total";"11705";"6063";"5642"
"MU";"1301506";"Envira (AM)";"Urbana";"802";"406";"396"
"MU";"1301506";"Envira (AM)";"Rural";"10903";"5657";"5246"
"MU";"1301605";"Fonte Boa (AM)";"Total";"11744";"5868";"5876"
"MU";"1301605";"Fonte Boa (AM)";"Urbana";"2015";"1025";"990"
"MU";"1301605";"Fonte Boa (AM)";"Rural";"9729";"4843";"4886"
"MU";"1301654";"Guajará (AM)";"Total";"...";"...";"..."
"MU";"1301654";"Guajará (AM)";"Urbana";"...";"...";"..."
"MU";"1301654";"Guajará (AM)";"Rural";"...";"...";"..."
"MU";"1301704";"Humaitá (AM)";"Total";"14877";"7682";"7195"
"MU";"1301704";"Humaitá (AM)";"Urbana";"1169";"553";"616"
"MU";"1301704";"Humaitá (AM)";"Rural";"13708";"7129";"6579"
"MU";"1301803";"Ipixuna (AM)";"Total";"12846";"6615";"6231"
"MU";"1301803";"Ipixuna (AM)";"Urbana";"688";"349";"339"
"MU";"1301803";"Ipixuna (AM)";"Rural";"12158";"6266";"5892"
"MU";"1301852";"Iranduba (AM)";"Total";"...";"...";"..."
"MU";"1301852";"Iranduba (AM)";"Urbana";"...";"...";"..."
"MU";"1301852";"Iranduba (AM)";"Rural";"...";"...";"..."
"MU";"1301902";"Itacoatiara (AM)";"Total";"37346";"19027";"18319"
"MU";"1301902";"Itacoatiara (AM)";"Urbana";"16084";"7857";"8227"
"MU";"1301902";"Itacoatiara (AM)";"Rural";"21262";"11170";"10092"
"MU";"1301951";"Itamarati (AM)";"Total";"...";"...";"..."
"MU";"1301951";"Itamarati (AM)";"Urbana";"...";"...";"..."
"MU";"1301951";"Itamarati (AM)";"Rural";"...";"...";"..."
"MU";"1302009";"Itapiranga (AM)";"Total";"2646";"1368";"1278"
"MU";"1302009";"Itapiranga (AM)";"Urbana";"675";"346";"329"
"MU";"1302009";"Itapiranga (AM)";"Rural";"1971";"1022";"949"
"MU";"1302108";"Japurá (AM)";"Total";"2415";"1320";"1095"
"MU";"1302108";"Japurá (AM)";"Urbana";"127";"68";"59"
"MU";"1302108";"Japurá (AM)";"Rural";"2288";"1252";"1036"
"MU";"1302207";"Juruá (AM)";"Total";"6785";"3505";"3280"
"MU";"1302207";"Juruá (AM)";"Urbana";"213";"99";"114"
"MU";"1302207";"Juruá (AM)";"Rural";"6572";"3406";"3166"
"MU";"1302306";"Jutaí (AM)";"Total";"3955";"2065";"1890"
"MU";"1302306";"Jutaí (AM)";"Urbana";"427";"212";"215"
"MU";"1302306";"Jutaí (AM)";"Rural";"3528";"1853";"1675"
"MU";"1302405";"Lábrea (AM)";"Total";"16737";"8732";"8005"
"MU";"1302405";"Lábrea (AM)";"Urbana";"3010";"1513";"1497"
"MU";"1302405";"Lábrea (AM)";"Rural";"13727";"7219";"6508"
"MU";"1302504";"Manacapuru (AM)";"Total";"49469";"25700";"23769"
"MU";"1302504";"Manacapuru (AM)";"Urbana";"7247";"3616";"3631"
"MU";"1302504";"Manacapuru (AM)";"Rural";"42222";"22084";"20138"
"MU";"1302553";"Manaquiri (AM)";"Total";"...";"...";"..."
"MU";"1302553";"Manaquiri (AM)";"Urbana";"...";"...";"..."
"MU";"1302553";"Manaquiri (AM)";"Rural";"...";"...";"..."
"MU";"1302603";"Manaus (AM)";"Total";"311622";"149587";"162035"
"MU";"1302603";"Manaus (AM)";"Urbana";"283673";"134298";"149375"
"MU";"1302603";"Manaus (AM)";"Rural";"27949";"15289";"12660"
"MU";"1302702";"Manicoré (AM)";"Total";"21100";"10969";"10131"
"MU";"1302702";"Manicoré (AM)";"Urbana";"3358";"1677";"1681"
"MU";"1302702";"Manicoré (AM)";"Rural";"17742";"9292";"8450"
"MU";"1302801";"Maraã (AM)";"Total";"8293";"4312";"3981"
"MU";"1302801";"Maraã (AM)";"Urbana";"314";"162";"152"
"MU";"1302801";"Maraã (AM)";"Rural";"7979";"4150";"3829"
"MU";"1302900";"Maués (AM)";"Total";"24095";"12491";"11604"
"MU";"1302900";"Maués (AM)";"Urbana";"6029";"2969";"3060"
"MU";"1302900";"Maués (AM)";"Rural";"18066";"9522";"8544"
