Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
330510;RJ;São João de Meriti;57º;1.765º;0,5570;39º;1.533º;0,6335;23º;935º;0,9459;30º;1.064º;0,8311;48º;1.697º;0,6252;nd;nd;nd
330513;RJ;São José de Ubá;44º;1.378º;0,7240;43º;1.593º;0,6047;46º;1.490º;0,6802;65º;2.272º;0,3420;45º;1.647º;0,6445;50º;2.025º;0,4926
330515;RJ;São José do Vale do Rio Preto;52º;1.529º;0,6617;47º;1.720º;0,5552;48º;1.538º;0,6614;48º;1.530º;0,6357;43º;1.618º;0,6592;nd;nd;nd
330520;RJ;São Pedro da Aldeia;65º;2.077º;0,4388;nd;nd;nd;49º;1.575º;0,6467;50º;1.646º;0,5964;47º;1.654º;0,6419;61º;2.271º;0,3976
330530;RJ;São Sebastião do Alto;1º;1º;1,0000;23º;980º;0,9039;27º;1.014º;0,8977;26º;1.007º;0,8585;24º;1.082º;0,9077;19º;1.077º;0,9043
330540;RJ;Sapucaia;37º;1.241º;0,7942;29º;1.230º;0,7822;37º;1.197º;0,8136;33º;1.172º;0,7769;32º;1.313º;0,7930;28º;1.388º;0,7547
330550;RJ;Saquarema;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;20º;779º;0,9745;42º;1.554º;0,6885;51º;2.036º;0,4885
330555;RJ;Seropédica;39º;1.302º;0,7626;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
330560;RJ;Silva Jardim;64º;2.067º;0,4417;70º;2.394º;0,3084;74º;2.354º;0,3413;67º;2.320º;0,3265;71º;2.399º;0,3645;59º;2.247º;0,4075
330570;RJ;Sumidouro;35º;1.204º;0,8188;33º;1.343º;0,7244;44º;1.466º;0,6931;49º;1.541º;0,6315;40º;1.498º;0,7106;24º;1.194º;0,8429
330575;RJ;Tanguá;82º;2.720º;0,1911;78º;2.555º;0,2430;83º;2.744º;0,2039;83º;3.039º;0,1022;80º;2.964º;0,1562;73º;3.136º;0,1018
330580;RJ;Teresópolis;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330590;RJ;Trajano de Moraes;33º;1.187º;0,8268;22º;859º;0,9656;1º;1º;1,0000;29º;1.045º;0,8391;35º;1.379º;0,7627;34º;1.512º;0,7045
330600;RJ;Três Rios;27º;974º;0,9385;50º;1.826º;0,5150;58º;1.868º;0,5296;47º;1.512º;0,6416;49º;1.700º;0,6247;1º;1º;1,0000
330610;RJ;Valença;75º;2.328º;0,3426;60º;2.063º;0,4207;72º;2.247º;0,3782;68º;2.332º;0,3239;69º;2.308º;0,3954;60º;2.260º;0,4024
330615;RJ;Varre-Sai;83º;2.848º;0,1440;82º;2.878º;0,1347;78º;2.546º;0,2738;82º;2.980º;0,1211;85º;3.439º;0,0189;77º;3.439º;0,0104
330620;RJ;Vassouras;61º;1.943º;0,4930;54º;1.866º;0,4996;67º;2.115º;0,4247;63º;2.256º;0,3492;68º;2.293º;0,4021;69º;2.822º;0,2044
330630;RJ;Volta Redonda;1º;1º;1,0000;62º;2.128º;0,4013;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
350010;SP;Adamantina;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
350020;SP;Adolfo;386º;1.131º;0,8620;340º;1.026º;0,8813;328º;1.018º;0,8966;357º;1.188º;0,7687;333º;1.065º;0,9155;465º;1.847º;0,5579
350030;SP;Aguaí;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
350040;SP;Águas da Prata;1º;1º;1,0000;318º;911º;0,9372;340º;1.069º;0,8721;425º;1.599º;0,6153;353º;1.141º;0,8826;356º;1.152º;0,8645
350050;SP;Águas de Lindóia;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
350055;SP;Águas de Santa Bárbara;1º;1º;1,0000;1º;1º;1,0000;343º;1.072º;0,8714;343º;1.127º;0,7942;1º;1º;1,0000;1º;1º;1,0000
350060;SP;Águas de São Pedro;392º;1.184º;0,8271;320º;917º;0,9347;1º;1º;1,0000;517º;2.251º;0,3509;375º;1.260º;0,8197;349º;1.123º;0,8827
350070;SP;Agudos;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
350075;SP;Alambari;361º;1.021º;0,9162;300º;825º;0,9871;418º;1.504º;0,6722;492º;2.051º;0,4278;520º;2.240º;0,4182;519º;2.272º;0,3964
