Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
MU;2101905;Bequimão (MA);26,46
MU;2101939;Bernardo do Mearim (MA);22,93
MU;2101970;Boa Vista do Gurupi (MA);19,7
MU;2102002;Bom Jardim (MA);5,93
MU;2102036;Bom Jesus das Selvas (MA);10,62
MU;2102077;Bom Lugar (MA);33,23
MU;2102101;Brejo (MA);31,04
MU;2102150;Brejo de Areia (MA);5,26
MU;2102200;Buriti (MA);18,33
MU;2102309;Buriti Bravo (MA);14,47
MU;2102325;Buriticupu (MA);25,63
MU;2102358;Buritirana (MA);18,06
MU;2102374;Cachoeira Grande (MA);11,97
MU;2102408;Cajapió (MA);11,66
MU;2102507;Cajari (MA);27,7
MU;2102556;Campestre do Maranhão (MA);21,72
MU;2102606;Cândido Mendes (MA);11,33
MU;2102705;Cantanhede (MA);26,45
MU;2102754;Capinzal do Norte (MA);18,12
MU;2102804;Carolina (MA);3,72
MU;2102903;Carutapera (MA);17,86
MU;2103000;Caxias (MA);30,12
MU;2103109;Cedral (MA);35,63
MU;2103125;Central do Maranhão (MA);24,72
MU;2103158;Centro do Guilherme (MA);11,7
MU;2103174;Centro Novo do Maranhão (MA);2,13
MU;2103208;Chapadinha (MA);22,59
MU;2103257;Cidelândia (MA);9,34
MU;2103307;Codó (MA);27,06
MU;2103406;Coelho Neto (MA);47,92
MU;2103505;Colinas (MA);19,76
MU;2103554;Conceição do Lago-Açu (MA);19,69
MU;2103604;Coroatá (MA);27,27
MU;2103703;Cururupu (MA);26,69
MU;2103752;Davinópolis (MA);37,44
MU;2103802;Dom Pedro (MA);63,27
MU;2103901;Duque Bacelar (MA);33,5
MU;2104008;Esperantinópolis (MA);38,37
MU;2104057;Estreito (MA);13,18
MU;2104073;Feira Nova do Maranhão (MA);5,52
MU;2104081;Fernando Falcão (MA);1,82
MU;2104099;Formosa da Serra Negra (MA);4,49
MU;2104107;Fortaleza dos Nogueiras (MA);7
MU;2104206;Fortuna (MA);21,72
MU;2104305;Godofredo Viana (MA);15,77
MU;2104404;Gonçalves Dias (MA);19,9
MU;2104503;Governador Archer (MA);22,63
MU;2104552;Governador Edison Lobão (MA);25,81
MU;2104602;Governador Eugênio Barros (MA);19,57
MU;2104628;Governador Luiz Rocha (MA);19,66
MU;2104651;Governador Newton Bello (MA);10,27
MU;2104677;Governador Nunes Freire (MA);24,49
MU;2104701;Graça Aranha (MA);22,62
MU;2104800;Grajaú (MA);7,03
MU;2104909;Guimarães (MA);20,29
MU;2105005;Humberto de Campos (MA);12,29
MU;2105104;Icatu (MA);17,36
MU;2105153;Igarapé do Meio (MA);34,04
MU;2105203;Igarapé Grande (MA);29,5
MU;2105302;Imperatriz (MA);180,79
MU;2105351;Itaipava do Grajaú (MA);11,54
MU;2105401;Itapecuru Mirim (MA);42,21
MU;2105427;Itinga do Maranhão (MA);6,94
MU;2105450;Jatobá (MA);14,42
MU;2105476;Jenipapo dos Vieiras (MA);7,87
MU;2105500;João Lisboa (MA);32
MU;2105609;Joselândia (MA);22,64
MU;2105658;Junco do Maranhão (MA);7,24
MU;2105708;Lago da Pedra (MA);37,68
MU;2105807;Lago do Junco (MA);34,72
MU;2105906;Lago Verde (MA);24,73
MU;2105922;Lagoa do Mato (MA);6,48
MU;2105948;Lago dos Rodrigues (MA);43,21
