IBGE;TSE;MUNICIPIO;UF;PIP
2102556;7382;CAMPESTRE DO MARANHÃO;MA;656
2102606;7498;CÂNDIDO MENDES;MA;781
2102705;7510;CANTANHEDE;MA;1695
2102754;7404;CAPINZAL DO NORTE;MA;776
2102804;7536;CAROLINA;MA;2038
2102903;7552;CARUTAPERA;MA;1403
2103000;7579;CAXIAS;MA;12489
2103109;7595;CEDRAL;MA;1208
2103125;7420;CENTRAL DO MARANHÃO;MA;1229
2103158;7447;CENTRO DO GUILHERME;MA;555
2103174;7463;CENTRO NOVO DO MARANHÃO;MA;454
2103208;7617;CHAPADINHA;MA;4178
2103257;7480;CIDELÂNDIA;MA;981
2103307;7633;CODÓ;MA;7145
2103406;7650;COELHO NETO;MA;2969
2103505;7676;COLINAS;MA;3189
2103554;7501;CONCEIÇÃO DO LAGO-AÇU;MA;973
2103604;7692;COROATÁ;MA;3269
2103703;7714;CURURUPU;MA;1944
2103752;7242;DAVINÓPOLIS;MA;1233
2103802;7730;DOM PEDRO;MA;1944
2103901;7757;DUQUE BACELAR;MA;955
2104008;7773;ESPERANTINÓPOLIS;MA;1675
2104057;9636;ESTREITO;MA;1282
2104073;7528;FEIRA NOVA DO MARANHÃO;MA;348
2104081;7544;FERNANDO FALCÃO;MA;210
2104099;7560;FORMOSA DA SERRA NEGRA;MA;511
2104107;7790;FORTALEZA DOS NOGUEIRAS;MA;555
2104206;7811;FORTUNA;MA;973
2104305;7838;GODOFREDO VIANA;MA;609
2104404;7854;GONÇALVES DIAS;MA;1301
2104503;7870;GOVERNADOR ARCHER;MA;559
2104552;7609;GOVERNADOR EDISON LOBÃO;MA;547
2104602;7897;GOVERNADOR EUGÊNIO BARROS;MA;1292
2104628;7625;GOVERNADOR LUIZ ROCHA;MA;436
2104651;7641;GOVERNADOR NEWTON BELLO;MA;691
2104677;7668;GOVERNADOR NUNES FREIRE;MA;1630
2104701;7919;GRAÇA ARANHA;MA;587
2104800;7935;GRAJAÚ;MA;3854
2104909;7951;GUIMARÃES;MA;1521
2105005;7978;HUMBERTO DE CAMPOS;MA;1292
2105104;7994;ICATU;MA;1419
2105153;7684;IGARAPÉ DO MEIO;MA;697
2105203;8010;IGARAPÉ GRANDE;MA;983
2105302;8036;IMPERATRIZ;MA;36047
2105351;7706;ITAIPAVA DO GRAJAÚ;MA;1152
2105401;8079;ITAPECURU MIRIM;MA;8279
2105427;7722;ITINGA DO MARANHÃO;MA;3028
2105450;7749;JATOBÁ;MA;446
2105476;7765;JENIPAPO DOS VIEIRAS;MA;741
2105500;8095;JOÃO LISBOA;MA;1609
2105609;8117;JOSELÂNDIA;MA;1149
2105658;7781;JUNCO DO MARANHÃO;MA;615
2105708;8133;LAGO DA PEDRA;MA;5846
2105807;8150;LAGO DO JUNCO;MA;1075
2105906;8176;LAGO VERDE;MA;2017
2105922;7820;LAGOA DO MATO;MA;1766
2105948;7803;LAGO DOS RODRIGUES;MA;720
2105963;7846;LAGOA GRANDE DO MARANHÃO;MA;839
2105989;7862;LAJEADO NOVO;MA;785
2106003;8192;LIMA CAMPOS;MA;2363
2106102;8214;LORETO;MA;1794
2106201;8230;LUÍS DOMINGUES;MA;447
2106300;8257;MAGALHÃES DE ALMEIDA;MA;1306
2106326;7889;MARACAÇUMÉ;MA;2571
2106359;7900;MARAJÁ DO SENA;MA;169
2106375;7927;MARANHÃOZINHO;MA;818
2106409;8273;MATA ROMA;MA;3549
2106508;8290;MATINHA;MA;3483
2106607;8311;MATÕES;MA;4947
2106631;7943;MATÕES DO NORTE;MA;1180
2106672;7960;MILAGRES DO MARANHÃO;MA;714
2106706;8338;MIRADOR;MA;2240
2106755;9695;MIRANDA DO NORTE;MA;2778
2106805;8354;MIRINZAL;MA;3083
2106904;8370;MONÇÃO;MA;4032
2107001;8397;MONTES ALTOS;MA;1180
2107100;8419;MORROS;MA;2328
2107209;8435;NINA RODRIGUES;MA;1306
2107258;7986;NOVA COLINAS;MA;598
2107308;8451;NOVA IORQUE;MA;416
2107357;8001;NOVA OLINDA DO MARANHÃO;MA;2050
2107407;8478;OLHO D'ÁGUA DAS CUNHÃS;MA;2650
2107456;8028;OLINDA NOVA DO MARANHÃO;MA;2103
2107506;8494;PAÇO DO LUMIAR;MA;17337
2107605;8516;PALMEIRÂNDIA;MA;3220
2107704;8532;PARAIBANO;MA;1634
2107803;8559;PARNARAMA;MA;4753
2107902;8575;PASSAGEM FRANCA;MA;3148
2108009;8591;PASTOS BONS;MA;3801
2108058;8044;PAULINO NEVES;MA;2275
2108108;9598;PAULO RAMOS;MA;1950
2108207;8613;PEDREIRAS;MA;5644
2108256;8060;PEDRO DO ROSÁRIO;MA;2950
2108306;8630;PENALVA;MA;4311
2108405;8656;PERI MIRIM;MA;1375
2108454;8087;PERITORÓ;MA;3360
2108504;8672;PINDARÉ-MIRIM;MA;3498
2108603;8699;PINHEIRO;MA;13622
2108702;8710;PIO XII;MA;3671
